Model Name;Species Name
msp_0264.mat;Parabacteroides_sp._SN4
msp_0265.mat;Faecalibacterium_prausnitzii_7
msp_0266.mat;Fusobacterium_ulcerans
msp_0267.mat;unclassified_Bacteroides
msp_0268.mat;Blautia_sp._N6H1-15
msp_0269.mat;unclassified_Clostridiales_5
msp_0270.mat;unclassified_Clostridiales_5
msp_0271.mat;[Eubacterium]_sp._CAG:180
msp_0272.mat;unclassified_Blautia
msp_0273.mat;[Clostridium]_sp._CAG:510
msp_0274.mat;Sellimonas_intestinalis_==_Drancourtella_massiliensis
msp_0275.mat;Prevotella_stercorea
msp_0276.mat;Flavonifractor_sp._An10
msp_0277.mat;[Eubacterium]_sp._CAG:251_/_[Clostridium]_sp._A254.MGS-251
msp_0278.mat;Erysipelotrichaceae_bacterium_3_1_53
msp_0279.mat;Cloacibacillus_porcorum
msp_0280.mat;Sutterella_wadsworthensis_2
msp_0281.mat;Catenibacterium_sp._CAG:290
msp_0282.mat;Ruminococcus_sp._CAG:330
msp_0283.mat;msp_0283.mat
msp_0284.mat;msp_0284.mat
msp_0285.mat;[Clostridium]_sp._CAG:217_/_Clostridiales_bacterium_CIM:MAG_317_1
msp_0286.mat;Ruminococcus_sp._37_24_&_sp._2789STDY5834934
msp_0287.mat;Alistipes_ihumii
msp_0288.mat;msp_0288.mat
msp_0289.mat;Fusobacterium_varium
msp_0290.mat;Anaeromassilibacillus_sp._Marseille-P3876
msp_0291.mat;unclassified_Ruminococcaceae
msp_0292.mat;unclassified_Lachnospiraceae
msp_0293.mat;unclassified_Bacteroides
msp_0294.mat;Butyrivibrio_sp._CAG:318
msp_0295.mat;Desulfovibrio_fairfieldensis
msp_0296.mat;unclassified_Roseburia
msp_0297.mat;Anaerotruncus_sp._AT3
msp_0298.mat;unclassified_Christensenellaceae-Catabacteriaceae
msp_0299.mat;[Eubacterium]_ramulus
msp_0300.mat;unclassified_Prevotellaceae
msp_0301.mat;Faecalibacterium_prausnitzii_1
msp_0302.mat;unclassified_Clostridiales_2
msp_0303.mat;unclassified_Clostridiales_5
msp_0304.mat;unclassified_Bacteroidales_[Alistipes]_sp._CAG:514
msp_0305.mat;Roseburia_sp._CAG:303
msp_0306.mat;Firmicutes_bacterium_CAG:176
msp_0307.mat;Dorea_longicatena_1
msp_0308.mat;[Clostridium]_saccharolyticum_2
msp_0309.mat;unclassified_Blautia
msp_0310.mat;Barnesiella_sp._An22
msp_0311.mat;unclassified_Clostridiales_5
msp_0312.mat;Firmicutes_bacterium_CAG:110
msp_0313.mat;Veillonella_parvula
msp_0314.mat;unclassified_Christensenellaceae-Catabacteriaceae
msp_0315.mat;Firmicutes_bacterium_CAG:145
msp_0316.mat;unclassified_Parabacteroides
msp_0317.mat;unclassified_Clostridiales_5
msp_0318.mat;Alistipes_indistinctus
msp_0319.mat;unclassified_Clostridiales_5
msp_0320.mat;unclassified_Prevotella
msp_0321.mat;[Clostridium]_sp._CAG:411
msp_0322.mat;unclassified_Ruminococcus
msp_0323.mat;unclassified_Clostridiales
msp_0324.mat;Alistipes_sp._cv1
msp_0325.mat;Ruminococcus_sp._UNK.MGS-30
msp_0326.mat;unclassified_Alistipes
msp_0327.mat;[Bacteroides]_sp._CAG:545
msp_0328.mat;[Brachyspira]_sp._CAG:484
msp_0329.mat;Clostridium_butyricum
msp_0330.mat;Firmicutes_bacterium_CAG:534
msp_0331.mat;Oscillibacter_sp._KLE_1728_&_KLE_1745_&_sp._PEA192_/_Oscillospiraceae_VE202-24
msp_0332.mat;unclassified_Lachnospiraceae
msp_0333.mat;msp_0333.mat
msp_0334.mat;Erysipelotrichaceae_bacterium_5_2_54FAA_/_[Eubacterium]_sp._3_1_31
msp_0335.mat;unclassified_Alistipes
msp_0336.mat;Bacteroides_fluxus
msp_0337.mat;[Eubacterium]_sp._38_16_&_CAG:146
msp_0338.mat;Fusobacterium_mortiferum
msp_0339.mat;unclassified_Prevotella
